,company,revenues,revenue_change,profits,assets,industry,sector,country,employees,total_stockholder_equity,Component 1,Component 2
51,BMW Group,104130,1.8,7589.4,198835,Motor Vehicles and Parts,Motor Vehicles & Parts,Germany,124729,49682,1.071523558017898,0.16001547121776014
52,Express Scripts Holding,100288,-1.4,3404.4,51745,Health Care: Pharmacy and Other Services,Health Care,USA,25600,16236,-0.07648684131212748,0.2822507288774443
53,Trafigura Group,98098,0.9,750.8,41230,Trading,Wholesalers,Singapore,4107,5548,-0.5259618675965635,0.36603497737006546
54,China Railway Engineering,96979,-2.5,924.1,108864,"Engineering, Construction",Engineering & Construction,China,292215,10806,0.19607756623298672,1.3791531156116925
55,Prudential,96965,53.7,2592.8,581221,"Insurance: Life, Health (stock)",Financials,Britain,23673,18117,0.20561148426088563,-0.5856500673919818
56,Assicurazioni Generali,95217,-7.2,2301.3,549656,"Insurance: Life, Health (stock)",Financials,Italy,73727,25886,0.4135899383598296,-0.03410783369652273
57,China Railway Construction,94877,-0.8,1192.4,109968,"Engineering, Construction",Engineering & Construction,China,336872,10146,0.28215006470923176,1.5073650598593231
58,Home Depot,94595,6.9,7957.0,42966,Specialty Retailers,Retailing,USA,406000,4333,0.9021178428691234,1.448671432276282
59,Boeing,94571,-1.6,4895.0,89997,Aerospace and Defense,Aerospace & Defense,USA,150540,817,0.10534872016423724,0.6536706368269927
60,Wells Fargo,94176,4.6,21938.0,1930115,Banks: Commercial and Savings,Financials,USA,269100,199581,5.842136702233205,-2.576053522063433
61,Bank of America Corp.,93662,0.7,17906.0,2187702,Banks: Commercial and Savings,Financials,USA,208024,266840,6.378787505037589,-3.1204690134452506
62,Gazprom,91382,-8.1,14222.6,277262,Energy,Energy,Russia,467400,181813,3.933204286463782,0.4082532606978617
63,Nestle,90814,-1.6,8659.2,129824,Food Consumer Products,"Food, Beverages & Tobacco",Switzerland,328000,63573,1.5695034509266763,0.7857927171816573
64,Alphabet,90272,20.4,19478.0,167497,Internet Services and Retailing,Technology,USA,72053,139036,2.940975918484877,-1.2788284491267183
65,Siemens,88419,0.9,6050.5,141271,Industrial Machinery,Industrials,Germany,351000,38444,1.0569378319475462,1.0736360668732663
66,Carrefour,87112,-0.4,825.0,51513,Food and Drug Stores,Food & Drug Stores,France,384151,10996,0.22931264505095617,1.6883698064486556
67,Dongfeng Motor,86194,4.1,1415.0,59532,Motor Vehicles and Parts,Motor Vehicles & Parts,China,189795,11464,-0.11923440645235515,0.8659000013097163
68,Microsoft,85320,-8.8,16798.0,193694,Computer Software,Technology,USA,114000,71997,1.9829408794733758,-0.5872733833705657
69,Anthem,84863,7.2,2469.8,65083,Health Care: Insurance and Managed Care,Health Care,USA,53000,25100,-0.1519118948489141,0.18959748107346122
70,Hitachi,84558,1.2,2134.3,86742,"Electronics, Electrical Equip.",Technology,Japan,303887,26632,0.37505547705641124,1.173492298897314
71,SoftBank Group,82892,8.4,13163.4,221113,Telecommunications,Telecommunications,Japan,68402,32191,1.051421134283384,-0.5478224200095115
72,Banco Santander,82801,-2.5,6860.7,1412281,Banks: Commercial and Savings,Financials,Spain,185606,95906,2.5012145123276914,-1.17379436917958
73,Citigroup,82386,-6.7,14912.0,1792077,Banks: Commercial and Savings,Financials,USA,219000,225120,5.188939762171605,-2.3987931565156604
74,Petrobras,81405,-16.3,-4838.0,246983,Petroleum Refining,Energy,Brazil,68829,76779,-0.011280573179773781,0.34978360358440963
75,Robert Bosch,80869,3.3,2155.3,86348,Motor Vehicles and Parts,Motor Vehicles & Parts,Germany,389281,36316,0.6299461222420472,1.4113666259340618
76,Deutsche Telekom,80832,5.3,2958.1,156597,Telecommunications,Telecommunications,Germany,221000,30906,0.3476045605464188,0.6621863921653216
